FWIS,Hours,HIST_MA_1,HIST_MA_2,HIST_MA_3,HIST_MA_4,GLHT_MI_2
FWIS 100,3,,,,,
FWIS 101,3,,,,,
FWIS 102,3,,,,,
FWIS 103,3,,,,,
FWIS 104,3,1,1,,1,
FWIS 105,3,,,,,
FWIS 106,3,,,,,
FWIS 107,3,,,,,
FWIS 108,3,,,,,
FWIS 109,3,,,,,
FWIS 110,3,,,,,
FWIS 111,3,,,,,
FWIS 112,3,,,,,
FWIS 114,3,,,,,
FWIS 115,3,,,,,
FWIS 116,3,,,1,,
FWIS 117,3,,,,,
FWIS 118,3,,,,,
FWIS 119,3,,,,,
FWIS 120,3,,,,,
FWIS 121,3,,,,,
FWIS 122,3,,,,,
FWIS 123,3,,,,,
FWIS 124,3,,,,,
FWIS 125,3,,,,,
FWIS 126,3,,,,,
FWIS 127,3,,,,,
FWIS 128,3,,,,,
FWIS 129,3,,,,,
FWIS 130,3,,,,,
FWIS 131,3,,,,,
FWIS 132,3,,,,,
FWIS 133,3,,,,,
FWIS 134,3,,,,,
FWIS 135,3,,,,,
FWIS 136,3,,,,,
FWIS 137,3,,,,,
FWIS 138,3,,,,,
FWIS 139,3,,,,,
FWIS 140,3,,,,,
FWIS 141,3,,,,,
FWIS 142,3,,,,,
FWIS 143,3,,,,,
FWIS 144,3,,,,1,
FWIS 145,3,,,,,
FWIS 146,3,,,,,
FWIS 147,3,,,,,
FWIS 148,3,,,,,
FWIS 149,3,,,,,
FWIS 150,3,,,,,
FWIS 151,3,,,,,
FWIS 152,3,,,,,
FWIS 153,3,,,,,
FWIS 154,3,,,,,
FWIS 155,3,,,1,,
FWIS 156,3,,,,,
FWIS 157,3,,,,,
FWIS 158,3,,,1,,
FWIS 159,3,,,,,
FWIS 160,3,,,,,
FWIS 161,3,,,,,
FWIS 162,3,,,,,
FWIS 163,3,,,,,
FWIS 164,3,,,,,
FWIS 165,3,,,,,
FWIS 166,3,,,,,
FWIS 167,3,,,,,
FWIS 168,3,,,,,
FWIS 169,3,,,,,
FWIS 170,3,,,,,1
FWIS 171,3,,,,,
FWIS 172,3,,,,,
FWIS 173,3,,,,,
FWIS 174,3,,,,,
FWIS 175,3,,,,,
FWIS 176,3,,,,,
FWIS 177,3,,,,,
