CEVE,Hours,EWS_MI_C,EWS_MI_C_1,CEVE_MA_C,CEVE_MA_1,CEVE_MA_2,CEVE_MA_3,CEVE_MA_4,POST_MA_S_1,POST_MA_S_2,POST_MA_S_5,POST_MA_S_8_S_1,POST_MA_S_8_S_2,CHBE_MA_1_1,CHBE_MA_1_4,CHBE_MA_3_C,CHBE_MA_3_E,CHBE_MA_5_1,ENVI_MA_C_1,ENVI_MA_C_2,ENVI_MA_S_1,ENVI_MA_S_3,ENVI_MA_S_4,DIII,CEVE_MA_S_1,CEVE_MA_S_2,CEVE_MA_S_3,CEVE_MA_S_4,GLHT_MI_1
CEVE 100,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 101,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 201,,,,,,,,,1,,,,,1,,,,1,,,,,1,,,,,,
CEVE 202,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 203,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
CEVE 211,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 302,3,,,,1,,,,,,,,,,1,,1,,,,,,,,1,,,,
CEVE 304,3,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
CEVE 306,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,
CEVE 307,3,1,,,1,,,,,,,1,,,1,,1,,,,,,1,,,,,,
CEVE 308,3,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,
CEVE 310,3,,,1,,,,,,,,,,1,,1,,1,,,,,,,,,,,
CEVE 311,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 312,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 313,3,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,
CEVE 314,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CEVE 315,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
CEVE 320,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 322,3,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,
CEVE 334,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 363,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 400,3,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
CEVE 401,4,,,1,,,,,,,,,,,,,1,,,1,,,1,,,,,,
CEVE 404,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 405,3,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
CEVE 406,3,,,,,,,,1,1,1,,1,,,,,,,,1,,,,1,,,,
CEVE 407,3,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
CEVE 408,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
CEVE 411,3,,,,1,,,,,,,,,1,,,1,1,1,,,,1,,1,,,,
CEVE 412,3,,,,,1,,,,,,,,,,,,,,1,,,1,,,1,,,
CEVE 417,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 418,3,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,
CEVE 420,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 424,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 427,3,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
CEVE 434,3,,,,1,,,,,,,,,1,,1,,1,,,,,1,,1,,,,1
CEVE 450,3,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,
CEVE 451,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
CEVE 452,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
CEVE 453,3,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,
CEVE 455,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 460,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
CEVE 470,4,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,
CEVE 476,3,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
CEVE 479,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
CEVE 480,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 481,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 484,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
CEVE 490,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
CEVE 492,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
CEVE 496,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
CEVE 499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEVE 512,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,
CEVE 518,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
CEVE 535,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CEVE 536,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CEVE 550,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
