CHBE,Hours,CHBE_MA_C,CHBE_MA_1_2,CHBE_MA_1_3,CHBE_MA_1_4,CHBE_MA_5_E,ENVI_MA_S_4,POST_MA_S_8_S_2
CHBE 100,1,,,,,,,
CHBE 281,3,,,,1,,1,1
CHBE 301,3,1,,,,,,
CHBE 303,1,1,,,,,,
CHBE 305,3,1,,,,,,
CHBE 310,3,1,,,,,,
CHBE 343,,1,,,,,,
CHBE 350,1,,,,,,,
CHBE 381,3,,,,,,,
CHBE 382,3,,,,,,,
CHBE 390,3,1,,,,,,
CHBE 401,3,1,,,,,,
CHBE 402,3,1,,,,,,
CHBE 403,4,1,,,,,,
CHBE 404,4,,,,,,,
CHBE 411,3,1,,,,,,
CHBE 412,,1,,,,,,
CHBE 420,3,,,,,,,
CHBE 443,2,1,,,,,,
CHBE 460,3,,,,,,,
CHBE 470,3,,,,,,,
CHBE 560,,,,,,1,,
CHBE 594,,,1,,,1,,
CHBE 640,,,,1,,,,
,,,,,,,,
