MECH,Hours,BIOE_MA_C,CHBE_MA_1_6,DI,MECH_MA_C,MANA_MA_S_1,MECH_MA_C_2
MECH 200,3,,,,1,,
MECH 211,3,1,,,1,,
MECH 299,3,,,,,,
MECH 303,,,1,,,,
MECH 308,1,,,,,,
MECH 311,3,,,,1,,
MECH 314,3,,,1,,,
MECH 331,1,,,,1,,
MECH 332,1,,,,1,,
MECH 340,1,,,,1,,
MECH 343,4,,,,1,,
MECH 371,3,,,,1,,
MECH 373,3,,,,,,
MECH 380,3,,,,,,
MECH 383,3,,,,,,
MECH 400,3,,,,,,1
MECH 401,3,,,,1,,
MECH 402,,,,,,,1
MECH 403,,,,,,,1
MECH 404,4,,,,,,
MECH 407,4,,,,1,,
MECH 408,3,,,,1,,
MECH 411,3,,,,,,1
MECH 412,3,,,,1,,
MECH 417,3,,,,,,1
MECH 420,3,,,,1,,
MECH 427,3,,,,,,
MECH 431,1,,,,1,,
MECH 435,3,,,,,,
MECH 450,4,,,,,,
MECH 454,3,,,,,,1
MECH 456,3,,,,,1,
MECH 471,3,,,,,,
MECH 472,,,,,1,,
MECH 474,,,,,,,1
MECH 481,3,,,,1,,
MECH 488,3,,,,,,
MECH 490,V,,,,,,
MECH 498,3,,,,,,1
MECH 499,3,,,,,,
MECH 555,,,,,,,1
MECH 594,,,,,,,1
,,,,,,,
