MSCI,Hours,CHBE_MA_1_2,CHBE_MA_5_C,CHBE_MA_5_E,MECH_MA_C,DIII
MSCI 301,1,1,1,,1,1
MSCI 303,1,,,,,
MSCI 304,1,,,,,
MSCI 311,4,,,,,
MSCI 401,4,,,1,,
MSCI 402,3,1,1,,,
MSCI 404,4,,,,,
MSCI 406,3,1,,1,,
MSCI 411,3,,,1,,
MSCI 415,3,,,,,
MSCI 433,3,,,1,,
MSCI 435,3,,,1,,
MSCI 490,3,,,,,
MSCI 499,V,,,,,
MSCI 500,0,,,,,
MSCI 501,1,,,,,
MSCI 502,3,,,,,
MSCI 506,3,,,,,
MSCI 510,3,,,,,
MSCI 523,3,,,1,,
MSCI 533,3,,,,,
MSCI 535,3,,,,,
MSCI 537,1,,,,,
MSCI 545,3,,,1,,
MSCI 555,3,,,,,
MSCI 561,1,,,,,
MSCI 569,3,,,,,
MSCI 570,2,,,,,
MSCI 571,2,,,,,
MSCI 580,3,,,,,
MSCI 593,3,,,,,
MSCI 594,3,,,,,
MSCI 597,3,,,,,
MSCI 609,3,,,,,
MSCI 610,3,,,,,
MSCI 611,V,,,,,
MSCI 612,V,,,,,
MSCI 614,V,,,,,
MSCI 616,V,,,,,
MSCI 617,V,,,,,
MSCI 621,3,,,,,
MSCI 622,3,,,,,
MSCI 623,3,,,,,
MSCI 634,3,,,,,
MSCI 635,3,,,,,
MSCI 650,3,,,,,
MSCI 666,3,,,,,
MSCI 777,0,,,,,
,,,,,,
