ESCI,Hours,DIII,POST_MA_S_1,CEVE_MA_C,ENVI_MA_C,ENVI_MA_C_1,ENVI_MA_C_2,ENVI_MA_S_3,ENVI_MA_S_4,CHBE_MA_1_B,POST_MA_S_8_S_1,ESCI>300
ESCI 101,3,1,,,,,,,,,,
ESCI 102,3,1,,,,,,,,,,
ESCI 103,1,1,,,,,,,,,,
ESCI 106,3,1,,,,,,,,,,
ESCI 107,3,1,,,,,,,,,1,
ESCI 108,3,1,,,,,,,,,,
ESCI 109,3,1,,,,,,,,,,
ESCI 110,3,,,,,,,,,,,
ESCI 113,1,1,,,,,,,,,,
ESCI 114,1,1,,,,,,,,,,
ESCI 201,3,,,,,,,,,,,
ESCI 203,3,1,,,,,,,,,,
ESCI 214,3,1,,,,,,,,,,
ESCI 307,3,,,,,,,,1,,,1
ESCI 321,4,1,,1,1,,,,,,,1
ESCI 322,4,1,,,,,,,,,,1
ESCI 323,4,1,,,,,,1,,,,1
ESCI 324,4,1,,,,,,,,,,1
ESCI 333,3,1,,,,,,,,1,,1
ESCI 334,3,,,,,,,,,1,,1
ESCI 340,3,1,,1,,,,1,,1,,1
ESCI 390,V,,,,,,,,,,,1
ESCI 391,V,,,,,,,,,,,1
ESCI 403,1,,,,,,,,,,,1
ESCI 404,1,,,,,,,,,,,1
ESCI 405,1,,,,,,,,,,,1
ESCI 406,1,,,,,,,,,,,1
ESCI 407,3,,,,,,,,,,,1
ESCI 409,3,,,,,,,,,,,1
ESCI 410,3,,,,,,,,,,,1
ESCI 412,3,,,,,,,,,,,1
ESCI 413,3,,,,,,,,,,,1
ESCI 414,,,1,,,1,,,,,,1
ESCI 415,3,,,,,,,,,,1,1
ESCI 416,3,,,,,,,,,,,1
ESCI 417,3,,,,,,,,,,,1
ESCI 418,3,,,,,,,,,,,1
ESCI 419,2,,,,,,,,,,,1
ESCI 420,3,,,,,,,,,,,1
ESCI 421,3,,,,,,,1,,,,1
ESCI 423,3,,,,,,,,,,,1
ESCI 424,3,,,,,,,,,,,1
ESCI 425,3,,,,,,,,,,,1
ESCI 426,3,,,,,,,,,,,1
ESCI 427,3,,,,,,,,,,,1
ESCI 428,3,,,,,,,,,,,1
ESCI 429,3,,,,,,,,,,,1
ESCI 430,3,,,,,,,1,,,,1
ESCI 432,3,,,,,,,,,,,1
ESCI 435,3,,,,,,,,,,,1
ESCI 436,3,,,,,,,,,,,1
ESCI 440,3,,,,,,,,,,,1
ESCI 441,3,,,,,,,,,,,1
ESCI 442,4,,,,,,,1,,,,1
ESCI 444,3,,,,,,,,,,,1
ESCI 445,3,,,,,,,,,,,1
ESCI 450,3,,,,,,,1,,,,1
ESCI 454,3,,,,,,1,1,,,,1
ESCI 460,3,,,,,,,,,,,1
ESCI 461,3,,,,,,,,,,,1
ESCI 462,3,,,,,,,,,,,1
ESCI 463,4,,,,,,,,,,,1
ESCI 466,4,,,,,,,,,,,1
ESCI 467,3,,,,,,,,,,,1
ESCI 471,3,,,,,,,,,,,1
ESCI 481,3,,,,,,,,,,,1
ESCI 491,V,,,,,,,,,,,1
,,,,,,,,,,,,
